x,y,p,n
-362991.626505,573858.511957,1,a
-353855.322972,557662.845675,1,b
-346930.665187,542592.99648,1,c
-358945.405149,566926.141498,1,d
-351320.603973,550965.525048,1,e
-358668.049222,566326.497322,1,f
-343505.320841,538867.800928,1,g
-357775.114784,564650.154329,1,h
-343063.538637,536362.524825,2,i
-361645.207232,571257.098201,2,j
-353338.696162,554775.761994,2,k
-349494.142193,549641.036557,2,l
-354254.052314,556945.349031,2,m
-353335.324045,556901.72316,2,n
-348227.15075,544879.861061,2,o
-354679.614919,558704.819782,2,p
-359745.317543,567191.264887,2,q
-359303.17114,567193.710356,3,r
-360716.322532,569909.579392,3,s
-358209.764989,565568.07191,3,t
-342132.070193,535516.330501,3,u
-356120.221781,562223.9683,3,v
-343180.845286,536337.722437,4,w
-350359.817389,552230.424051,4,x
-356050.384523,561132.290228,4,y
-359106.136325,566855.856738,4,z
-346884.024479,544647.011433,4,aa
-357462.771716,564407.783151,3,bb
-343250.895703,536718.791494,3,cc
-356100.472492,561778.569569,3,dd
-342622.639477,535954.705284,4,ee
-347497.45889,546061.875538,4,ff
-352305.656529,553459.996211,5,gg
-350414.290325,551051.341208,5,hh
-354015.268582,557145.22865,5,ii
-357250.700691,563081.57252,5,jj
-347962.160884,547321.363943,5,kk
-351314.079676,551164.931608,3,ll
-347663.142089,546367.782135,3,mm
-352564.322038,554062.784625,1,nn
-355370.838985,559573.941201,1,oo
-361013.492398,569239.984494,1,pp
-355472.09666,560589.012605,2,qq
-346062.657527,541333.942689,2,rr
-354249.788406,558565.367189,2,ss
-350822.598411,550401.450691,2,tt
-346162.186868,542448.617264,2,uu
-356164.450214,561765.080234,3,vv
-347232.945009,544249.002775,4,ww
-363310.524958,574172.90152,5,xx
-353941.828865,557638.100071,4,yy
-348938.336946,546549.893115,3,zz
-352766.274911,555139.582904,3,ab
-349638.924571,547899.921054,2,ac
-350386.409651,551109.041686,2,ad
-357035.074938,562550.251848,2,ae
-359081.587205,566987.733543,1,af
-340143.447994,532711.464013,5,ag
-354610.472879,559882.492388,4,ah
-355372.345351,559704.38413,3,ai
-343284.551612,538437.382284,2,aj
-355461.683216,559805.864565,1,ak
-352783.179485,553800.557393,2,al
-361910.521525,572131.975142,2,am
-346744.108339,544578.933565,4,an
-353993.707351,556156.152593,4,ao
-347040.206842,545322.164827,4,ap
-355910.384166,561407.011846,3,aq
-352463.471979,553724.855856,3,ar
-352476.878783,554503.723524,3,as
-354802.931343,558825.078684,2,at
-351439.554108,551005.742862,4,au
-349174.983831,549653.835307,5,av
-359057.452341,566879.037077,5,aw
-364608.068372,576433.190011,4,ax
-352591.863505,555665.661221,3,ay
-349779.789086,548248.503549,2,az
-349163.386177,548789.304389,3,ba
-359722.655471,567265.806122,4,bc
-360845.650726,570309.309267,1,bd
-362584.983855,573155.460123,5,be
-363772.340396,575687.838988,1,bf
-363986.642908,575490.34491,2,bg
-363414.077563,574569.275069,3,bh
-353249.750446,556157.031125,4,bi
-359515.871134,568088.641443,5,bj
-365300.251374,578473.266986,5,bk
-351812.260764,554043.199692,4,bl
-356882.539314,562853.500451,3,bm
-357644.531768,564180.995424,2,bn
-355547.313178,559261.997087,1,bo
-362654.154673,573313.162601,3,bp
-363477.362439,574559.63604,4,bq
-362930.721576,573864.586049,5,br
-362761.410684,573413.648922,1,bs
-361203.154232,570613.512465,2,bt
-362289.915253,573106.234766,2,bu
-363280.450881,574193.633535,2,bv
-363355.497101,575455.977335,4,bw
-362501.893577,572961.781295,4,bx
-362217.25439,572144.450489,5,by
-360830.414563,570561.972806,3,bz
-362644.300952,573281.300238,1,ca
-362936.406944,573758.210949,1,cb
-366559.482233,580874.44088,3,cd
-367251.638219,581554.551991,3,ce
-366562.064026,580316.104031,3,cf
-366762.197052,580949.943327,2,cg
-366813.542441,580859.660111,1,ch
-366982.217796,581145.651896,1,ci
-366602.4261,581134.130414,2,cj
-366535.8097,580804.883653,4,ck
-366880.314449,580979.619682,5,cl
-366752.24861,581237.357033,5,cm
4744506.15158,-958043.199272,5,cn
-2503696.83091,-6588843.91882,4,co
7419615.88377,-1832575.82203,4,cp
-2678174.25446,-7275509.82301,4,cq
7051797.40711,-1729876.83694,3,cr
-2564707.58832,-6853947.1991,3,cs
7686603.27425,-1917140.51165,3,ct
-2779036.57715,-7536418.92754,4,cu
7835081.02568,-1909530.05171,5,cv
-2677200.67572,-7188832.02558,2,cw
7970665.94127,-1944905.91271,1,cx
-2694441.24143,-7271592.32866,2,cy
8103252.66068,-1990278.20071,3,cz
-2581829.74202,-6899157.02414,4,da
8237353.08742,-2030552.07945,5,db